Year,United States,Australia,Canada,France,Germany,Italy,Japan,"Korea, Republic of",Mexico,Netherlands,New Zealand,South Africa,Spain,Sweden,Turkey,United Kingdom,group
2006,15.4,14.8,14.6,29.1,14.2,33.2,9.1,10.3,7.9,9.9,14.2,NA,29.4,30.9,15.4,20.3,unemployment rates for teenagers
2007,15.7,13.8,13.4,26.1,12.9,31.7,8.7,9.4,8,9.8,14.4,NA,29.2,29.6,17.6,21.4,unemployment rates for teenagers
2008,18.7,12.8,14.2,23.9,11,35,7.8,10.4,8.8,8.2,16.2,NA,40,30.4,18,21.7,unemployment rates for teenagers
2009,24.3,16.5,18.5,30.9,11.3,40.3,9.5,12.3,11.2,9.4,23.4,NA,56.4,35.9,22,26.8,unemployment rates for teenagers
2010,25.9,16.8,18.6,29.7,10.7,45.8,9.9,12.1,11,11.2,24.7,NA,62.3,35.6,17.7,29.1,unemployment rates for teenagers
2011,24.4,16.1,17.7,29.4,10,48.7,9,10.6,10.9,10.5,25.7,NA,64.6,33.9,15,31.2,unemployment rates for teenagers
2012,24,16.7,18.7,32.8,9.2,56.9,7.6,8.7,10.5,12.8,25.8,NA,73.3,35.8,13.9,30.5,unemployment rates for teenagers
1970,8.2,NA,NA,3.8,0.5,9,2,NA,NA,NA,NA,NA,NA,2.2,NA,NA,unemployment rates for young adult
1971,10,NA,NA,4.2,0.6,8.9,2,NA,NA,NA,NA,NA,NA,3.8,NA,NA,unemployment rates for young adult
1972,9.3,NA,NA,4.4,0.7,10.9,2.3,NA,NA,NA,NA,NA,NA,4.6,NA,NA,unemployment rates for young adult
1973,7.8,NA,NA,4.3,0.8,11,2.1,NA,NA,NA,NA,NA,NA,4.5,NA,NA,unemployment rates for young adult
1974,9.1,NA,NA,4.6,2.1,9.8,2.3,NA,NA,NA,NA,NA,NA,3.3,NA,NA,unemployment rates for young adult
1975,13.6,NA,NA,5.8,4.9,10.6,2.9,NA,NA,NA,NA,NA,NA,2.8,NA,NA,unemployment rates for young adult
1976,12,NA,10.1,6.5,5,12.2,2.9,NA,NA,NA,NA,NA,NA,2.8,NA,NA,unemployment rates for young adult
1977,11,NA,11.5,7.6,5.1,12,3.4,NA,NA,NA,NA,NA,10.1,3.2,NA,NA,unemployment rates for young adult
1978,9.6,8.8,11.4,8.1,4.8,12.6,3.6,NA,NA,NA,NA,NA,14.2,4.3,NA,NA,unemployment rates for young adult
1979,9.1,8.8,10.2,9.2,4,12.7,3.4,NA,NA,NA,NA,NA,17.6,3.7,NA,NA,unemployment rates for young adult
1980,11.5,8.9,10.4,10,3.9,12.9,3.3,NA,NA,NA,NA,NA,23.5,3.7,NA,NA,unemployment rates for young adult
1981,12.3,8.1,10.5,12.2,5.8,14.3,3.6,NA,NA,NA,NA,NA,28.6,4.8,NA,NA,unemployment rates for young adult
1982,14.9,10.4,15.9,12.1,8.4,15.8,4,8.9,NA,NA,NA,NA,32.7,6.1,NA,NA,unemployment rates for young adult
1983,14.5,14.5,17.3,13.4,10.2,17,4.1,8.4,NA,NA,NA,NA,36.1,6.9,NA,NA,unemployment rates for young adult
1984,11.5,12.9,15.8,16.8,9.5,17.7,4.4,8.2,NA,NA,NA,NA,40.7,6.7,NA,18,unemployment rates for young adult
1985,11.1,11.5,14.1,17.2,9.2,18.5,4,9.6,NA,NA,NA,NA,43.1,6.4,NA,16.6,unemployment rates for young adult
1986,10.7,11.2,13.3,17,7.6,22,4.5,8.8,NA,NA,5,NA,42.5,6.3,NA,16.8,unemployment rates for young adult
1987,9.7,11.1,12,16.7,7.1,22.5,4.3,7.2,NA,12.3,6.1,NA,39.3,5.1,NA,13.9,unemployment rates for young adult
1988,8.7,10.4,10.3,16.2,6.7,22.1,4.1,6.8,NA,11.8,8.9,NA,36.2,3.9,NA,11.9,unemployment rates for young adult
1989,8.6,8.4,9.4,15.1,5.2,21.5,3.7,6.4,NA,10.1,11.8,NA,31.6,3.3,NA,9.8,unemployment rates for young adult
1990,8.8,10.2,10.9,15,4.4,19,3.6,6.3,NA,9.6,11.7,NA,29.2,3.4,NA,9.7,unemployment rates for young adult
1991,10.8,14.3,14.9,15.4,5.8,19.2,3.7,6.8,NA,8.5,17,NA,28.2,6.7,NA,13.6,unemployment rates for young adult
1992,11.4,16.1,15.6,17,6.9,20.5,3.8,7,NA,8.7,16.6,NA,30.9,13.2,NA,15.9,unemployment rates for young adult
1993,10.5,15.6,15.2,20.2,8.7,25.3,4.6,8.5,NA,9,15.1,NA,38.5,22.6,NA,17.1,unemployment rates for young adult
1994,9.7,13.6,13.5,21.7,9.5,26.9,4.7,6.8,NA,9.5,12.7,NA,40.3,23.5,NA,15.6,unemployment rates for young adult
1995,9.1,12,12,20.2,9,28.5,5.5,6,NA,10.1,9.3,NA,37.9,19.9,NA,14.8,unemployment rates for young adult
1996,9.3,12.3,12.1,21.2,10.4,28.5,5.9,5.8,NA,8.9,9.4,NA,37,21.1,NA,13.8,unemployment rates for young adult
1997,8.5,13.2,12.5,21.7,11.3,28.3,5.9,7.1,NA,6.3,11.2,NA,33.1,20.2,NA,12.4,unemployment rates for young adult
1998,7.9,11.5,11.6,20.5,9.9,27.5,6.8,14.8,NA,5.6,12.9,NA,30.1,15.8,NA,11.4,unemployment rates for young adult
1999,7.5,10.2,10.8,19.8,9.4,26.4,8,12.8,NA,4.3,11.9,NA,24.5,13.2,NA,10.7,unemployment rates for young adult
2000,7.2,9.1,9.4,15.2,8.9,24.7,8.3,9.9,NA,3.8,10.5,NA,21.3,9.6,NA,9.9,unemployment rates for young adult
2001,8.3,10.4,9.6,14.6,9.1,21.7,8.5,9.3,NA,3.6,9.1,NA,19.1,9.9,NA,9.7,unemployment rates for young adult
2002,9.7,9.8,10.1,15.5,10.9,20.7,8.9,7.9,NA,3.7,8.5,NA,20.5,10.7,NA,9.7,unemployment rates for young adult
2003,10,9.2,10,17.5,12.1,22.2,9.1,9.6,NA,5.1,7.4,NA,20.5,11.9,NA,9.4,unemployment rates for young adult
2004,9.4,8.2,9.6,18.8,14.2,21.1,8.5,9.9,NA,6.9,7.1,NA,20.2,14.8,NA,9.1,unemployment rates for young adult
2005,8.8,7.6,8.9,19.5,15.8,21.4,7.8,9.9,6.7,7.2,6.9,NA,17.3,17.6,NA,9.8,unemployment rates for young adult
2006,8.2,6.7,8.2,20,13.6,19.6,7.2,9.9,6.8,5.1,6.7,NA,15,16.7,17.7,10.6,unemployment rates for young adult
2007,8.2,6.3,7.9,17.5,11.5,18.2,7.4,8.8,7.2,4.4,6.4,NA,15.3,13.7,17.7,10.5,unemployment rates for young adult
2008,10.2,6.1,8,17.5,10.3,18.7,6.9,9.2,7.5,4.4,7.5,NA,20.7,14.1,19.5,11.6,unemployment rates for young adult
2009,14.7,8.2,11.2,21.6,11.1,23,8.9,9.5,10.1,6.1,11.5,NA,34,20,24.3,15.3,unemployment rates for young adult
2010,15.5,8.1,10.7,21.4,9.5,25,9,9.4,9.5,7,12,NA,37.7,19.9,21.9,15.3,unemployment rates for young adult
2011,14.6,8.3,10.1,20.5,8.2,26.3,7.9,9.4,9.7,5.7,12.2,NA,43.2,18.1,18.5,16.5,unemployment rates for young adult
2012,13.3,8.6,10,21.9,7.9,32.1,7.5,9,9.5,7.2,13.1,NA,49.7,19,17.5,16.9,unemployment rates for young adult
1970,11,NA,NA,4.9,0.4,10.4,2,NA,NA,NA,NA,NA,NA,2.9,NA,NA,unemployment rates for youth
1971,12.7,NA,NA,5.5,0.6,10.3,2.1,NA,NA,NA,NA,NA,NA,5.1,NA,NA,unemployment rates for youth
1972,12.1,NA,NA,5.9,0.7,13.6,2.5,NA,NA,NA,NA,NA,NA,5.8,NA,NA,unemployment rates for youth
1973,10.5,NA,NA,5.8,0.8,13.2,2.3,NA,NA,3.8,NA,NA,NA,5.3,NA,NA,unemployment rates for youth
1974,11.9,NA,NA,6.3,2.2,12,2.4,NA,NA,5.1,NA,NA,NA,4.5,NA,NA,unemployment rates for youth
1975,16.1,NA,NA,7.9,4.7,13.2,3.1,NA,NA,8.2,NA,NA,NA,3.8,NA,NA,unemployment rates for youth
1976,14.7,NA,12.4,9,4.8,15.2,3.2,NA,NA,9.3,NA,NA,NA,3.8,NA,NA,unemployment rates for youth
1977,13.6,NA,13.8,10.6,5,14.9,3.6,NA,NA,8.9,NA,NA,12.4,4.5,NA,NA,unemployment rates for youth
1978,12.3,12.6,13.9,11.1,4.5,15.4,3.8,NA,NA,9.6,NA,NA,17.4,5.6,NA,NA,unemployment rates for youth
1979,11.8,13,12.6,12.7,3.6,16,3.7,NA,NA,10.2,NA,NA,21.3,5.1,NA,NA,unemployment rates for youth
1980,13.9,12.5,12.7,14.2,3.7,15.8,3.5,NA,NA,11.9,NA,NA,28,5.1,NA,NA,unemployment rates for youth
1981,14.9,11.4,12.6,16.8,5.7,17.3,4,NA,NA,16.8,NA,NA,34,6.4,NA,NA,unemployment rates for youth
1982,17.8,13.8,18.1,15.5,8.2,19.4,4.3,10,NA,19.8,NA,NA,38.1,7.7,NA,NA,unemployment rates for youth
1983,17.2,18.3,19.1,16.5,9.6,20.9,4.6,9.2,NA,20.9,NA,NA,41.2,8.1,NA,NA,unemployment rates for youth
1984,13.9,16.8,17.2,20.1,10.7,21.6,4.9,8.8,NA,20.8,NA,NA,45.5,6.1,NA,19.8,unemployment rates for youth
1985,13.6,15.2,15.6,20.2,10,22.2,4.7,10,NA,17.4,NA,NA,47,5.9,NA,18,unemployment rates for youth
1986,13.3,15,14.5,19.1,8,25.5,5.1,9,NA,16.8,8,NA,45.2,5.7,NA,18.2,unemployment rates for youth
1987,12.2,14.9,13,18.2,7.4,25.8,5,7.6,NA,15.2,8.2,NA,42.1,5.3,NA,15.4,unemployment rates for youth
1988,11,13.4,11.2,17.1,6.9,24.8,4.7,7.2,NA,14.1,11,NA,38.8,4.3,NA,12.6,unemployment rates for youth
1989,10.9,11.2,10.5,15.4,5.5,23.9,4.4,6.8,NA,12.5,13.9,NA,33.2,4,NA,10.1,unemployment rates for youth
1990,11.2,13,12,15.5,4.6,21.3,4.3,7,NA,11.5,14.5,NA,30.9,4.6,NA,10.6,unemployment rates for youth
1991,13.4,17.5,15.4,16.1,5.6,21.2,4.2,7.3,NA,10.7,19.3,NA,29.5,8,NA,14.3,unemployment rates for youth
1992,14.2,19.4,16.8,17.7,6.4,22.8,4.4,7.6,NA,9.7,19.1,NA,32.6,13.9,NA,16.3,unemployment rates for youth
1993,13.4,18.7,16.7,20.7,7.8,27.3,5.1,9,NA,9.9,17.8,NA,41.1,23.5,NA,18,unemployment rates for youth
1994,12.5,17.1,14.9,22.4,8.5,28.9,5.2,7.3,NA,10.4,15.5,NA,43,23.8,NA,16.8,unemployment rates for youth
1995,12.1,15.4,13.9,20.5,8.4,30.1,5.9,6.3,NA,12.9,12.3,NA,40.4,20.2,NA,15.7,unemployment rates for youth
1996,12,15.7,14.5,21.8,9.7,30.1,6.4,6.1,NA,12.1,12.3,NA,39.6,21.5,NA,15.4,unemployment rates for youth
1997,11.3,16.1,15.5,22.2,10.6,29.9,6.4,7.6,NA,9.5,13.6,NA,36.5,21.1,NA,14.1,unemployment rates for youth
1998,10.4,14.6,14.6,20.9,9.4,29.4,7.4,15.8,NA,8.2,15,NA,32.7,17.1,NA,13.6,unemployment rates for youth
1999,9.9,13.3,13.4,20.6,8.8,28.2,8.7,14.1,NA,7.1,14.2,NA,26.8,14.6,NA,12.9,unemployment rates for youth
2000,9.3,12.1,11.7,16.4,8.6,26.5,8.9,10.8,NA,6,13.5,NA,23.6,12,NA,12.4,unemployment rates for youth
2001,10.6,13.5,11.9,15.7,8.5,23.4,9.1,10.2,NA,5,12.1,NA,21.4,12,NA,12,unemployment rates for youth
2002,12,12.8,12.9,16.6,10,22.3,9.5,8.5,NA,5.5,11.8,NA,22.5,13.1,NA,12.2,unemployment rates for youth
2003,12.4,12,12.8,18.7,10.8,24,9.6,10.1,NA,7,10.5,NA,23,14,NA,12.5,unemployment rates for youth
2004,11.8,11.4,12.5,20.3,12.9,23.8,9,10.4,NA,8.6,9.7,NA,22.3,17.2,NA,12.4,unemployment rates for youth
2005,11.3,10.6,11.4,20.9,15.5,24.2,8.1,10.2,7.2,9,9.7,NA,20,22.4,NA,13.1,unemployment rates for youth
2006,10.5,10,10.6,21.9,13.8,21.9,7.5,10,7.3,7.2,10,NA,18.2,21.4,16.8,14.2,unemployment rates for youth
2007,10.5,9.4,10,19.4,11.9,20.6,7.6,8.8,7.6,6.8,10,NA,18.5,18.9,17.7,14.4,unemployment rates for youth
2008,12.8,8.8,10.4,18.8,10.5,21.5,7,9.3,8.1,6.2,11.4,45.5,25,19.4,18.9,15.2,unemployment rates for youth
2009,17.6,11.5,13.9,23.5,11.2,25.7,9,9.8,10.6,7.5,16.6,48.1,38.5,24.9,23.5,19.2,unemployment rates for youth
2010,18.4,11.6,13.6,23,9.8,28.2,9.2,9.8,10.1,8.8,17.1,50.5,42.3,24.5,20.3,19.9,unemployment rates for youth
2011,17.3,11.4,12.8,22.2,8.7,29.4,8.1,9.6,10.2,7.7,17.3,49.8,47.1,22.5,17.3,21.2,unemployment rates for youth
2012,16.2,11.7,13,23.9,8.2,35.6,7.5,9,9.9,9.6,17.6,51.5,53.7,23.3,16.2,21.2,unemployment rates for youth
1970,3.3,NA,NA,1.9,0.6,1.6,0.9,NA,NA,NA,NA,NA,NA,1.2,NA,NA,unemployment rates for adults
1971,4,NA,NA,2,0.6,1.6,1,NA,NA,NA,NA,NA,NA,2,NA,NA,unemployment rates for adults
1972,3.6,NA,NA,2.1,0.7,1.6,1.1,NA,NA,NA,NA,NA,NA,2.1,NA,NA,unemployment rates for adults
1973,3.1,NA,NA,2,0.7,1.7,1.1,NA,NA,2.8,NA,NA,NA,1.9,NA,NA,unemployment rates for adults
1974,3.6,NA,NA,2.1,1.4,1.3,1.2,NA,NA,3.1,NA,NA,NA,1.5,NA,NA,unemployment rates for adults
1975,6,NA,NA,2.6,3,1.5,1.7,NA,NA,4.1,NA,NA,NA,1.2,NA,NA,unemployment rates for adults
1976,5.5,NA,4.9,2.8,3,1.7,1.8,NA,NA,4.2,NA,NA,NA,1.2,NA,NA,unemployment rates for adults
1977,4.9,NA,5.7,3.1,3,2,1.8,NA,NA,3.8,NA,NA,3.3,1.3,NA,NA,unemployment rates for adults
1978,4.1,4,6,3.3,3,1.9,2,NA,NA,3.7,NA,NA,4.1,1.6,NA,NA,unemployment rates for adults
1979,3.9,3.8,5.4,3.7,2.7,2.1,1.9,NA,NA,3.7,NA,NA,5.2,1.5,NA,NA,unemployment rates for adults
1980,5.1,3.7,5.3,3.9,2.6,2,1.8,NA,NA,4.3,NA,NA,6.8,1.4,NA,NA,unemployment rates for adults
1981,5.4,3.7,5.5,4.6,3.5,2.3,2,NA,NA,6.4,NA,NA,8.4,1.8,NA,NA,unemployment rates for adults
1982,7.4,4.7,8.2,4.9,5,2.5,2.1,2.9,NA,7.4,NA,NA,9.5,2.3,NA,NA,unemployment rates for adults
1983,7.5,7,9.2,5.1,6.1,2.8,2.4,2.9,NA,8.8,NA,NA,10.5,2.6,NA,NA,unemployment rates for adults
1984,5.8,6.3,9,5.9,6.1,2.8,2.4,2.7,NA,8.9,NA,NA,12.7,2.6,NA,9.5,unemployment rates for adults
1985,5.6,5.9,8.4,6.5,6.4,2.9,2.2,2.8,NA,7.6,NA,NA,14,2.2,NA,9.5,unemployment rates for adults
1986,5.4,5.7,7.7,6.9,6.2,3.9,2.4,2.8,NA,8.2,2.7,NA,13.8,2.1,NA,9.4,unemployment rates for adults
1987,4.8,5.9,7.2,7.3,6.1,4.3,2.3,2.2,NA,8.2,2.8,NA,13.4,1.7,NA,9.1,unemployment rates for adults
1988,4.3,5.3,6.4,7.3,6.2,4.5,2,1.7,NA,8,4,NA,12.9,1.4,NA,7.5,unemployment rates for adults
1989,4,4.6,6.3,6.9,5.7,4.7,1.8,1.9,NA,7.3,5.2,NA,12,1.2,NA,6.5,unemployment rates for adults
1990,4.4,5.1,6.7,6.7,5,4.2,1.7,1.7,NA,6.6,6,NA,11.4,1.3,NA,6.2,unemployment rates for adults
1991,5.4,7.3,8.6,7,5.7,4.2,1.6,1.5,NA,6.2,8,NA,11.9,2.4,NA,7.5,unemployment rates for adults
1992,6.1,8.4,9.4,7.8,6.8,4.6,1.7,1.6,NA,6.1,8.3,NA,13.5,4.5,NA,8.6,unemployment rates for adults
1993,5.6,8.7,9.6,8.6,8,6.6,2,1.9,NA,5.4,7.6,NA,16.7,7.4,NA,8.8,unemployment rates for adults
1994,4.8,7.7,8.5,9.2,8.5,7.6,2.2,1.7,NA,6.2,6.5,NA,17.9,7.7,NA,8.1,unemployment rates for adults
1995,4.3,6.6,7.6,8.8,8.2,8.2,2.5,1.4,NA,5.9,5,NA,17.1,7.6,NA,7.3,unemployment rates for adults
1996,4.2,6.7,7.7,9.3,8.9,8.3,2.6,1.5,NA,5.4,4.8,NA,16.4,8.5,NA,6.7,unemployment rates for adults
1997,3.8,6.5,7.1,9.5,9.8,8.6,2.7,1.9,NA,4.8,5.2,NA,15.4,8.7,NA,5.6,unemployment rates for adults
1998,3.4,6,6.4,9.2,9.3,8.8,3.3,5.9,NA,3.6,6.1,NA,13.8,7.3,NA,4.9,unemployment rates for adults
1999,3.1,5.4,5.7,8.9,8.4,8.6,3.6,5.4,NA,2.8,5.5,NA,11.5,6.2,NA,4.7,unemployment rates for adults
2000,3,4.9,5,7.7,7.7,8,3.8,3.7,NA,2.5,4.6,NA,10.1,5,NA,4.2,unemployment rates for adults
2001,3.7,5.1,5.4,6.9,7.8,7.4,4,3.3,NA,2,4.1,NA,9,4.1,NA,3.8,unemployment rates for adults
2002,4.6,4.9,5.9,6.9,8.4,7,4.3,2.7,NA,2.5,3.9,NA,9.9,4.2,NA,3.9,unemployment rates for adults
2003,4.8,4.5,5.7,7.4,9.1,6.9,4,2.9,NA,3.5,3.6,NA,9.9,4.8,NA,3.7,unemployment rates for adults
2004,4.4,4,5.3,7.6,10,6.6,3.7,3,NA,4.3,2.8,NA,9.5,5.3,NA,3.4,unemployment rates for adults
2005,4,3.7,5,7.6,10.7,6.3,3.3,3.1,2.7,4.5,2.6,NA,7.8,5.8,NA,3.3,unemployment rates for adults
2006,3.6,3.6,4.5,7.4,9.9,5.6,3.2,2.9,2.7,3.7,2.6,NA,7.3,5,7,3.8,unemployment rates for adults
2007,3.6,3.2,4.3,6.8,8.3,5,3.2,2.8,2.8,2.9,2.3,NA,7.1,4.3,7,3.7,unemployment rates for adults
2008,4.6,3.2,4.3,6.2,7.2,5.6,3.3,2.7,3,2.4,2.7,18.2,9.8,4.1,7.9,4,unemployment rates for adults
2009,7.9,4.3,6.1,7.6,7.3,6.5,4.4,3.2,4.3,2.9,4,19.3,16,5.9,10.5,5.6,unemployment rates for adults
2010,8.2,3.8,5.9,7.9,6.8,7.1,4.3,3.3,4.2,3.7,4.5,20.3,18.1,6.2,8.9,5.8,unemployment rates for adults
2011,7.6,3.7,5.4,7.9,5.6,7,3.9,3,4.1,3.9,4.4,20.6,19.5,5.5,7.3,5.8,unemployment rates for adults
2012,6.8,3.9,5.1,8.4,5.2,9,3.5,2.8,3.9,4.5,4.9,20.7,22.8,5.7,6.9,5.7,unemployment rates for adults
1970,78678,5388,7919,20270,26107,19083,50146,9617,NA,NA,NA,NA,NA,3850,NA,NA,employment
1971,79367,5517,8104,20420,26222,19016,50466,9946,NA,NA,NA,NA,NA,3854,NA,24328,employment
1972,82153,5601,8344,20540,26289,18710,50587,10379,NA,NA,NA,NA,NA,3856,NA,24399,employment
1973,85064,5765,8761,20840,26593,18874,51917,10942,NA,5050,NA,NA,NA,3873,NA,24790,employment
1974,86794,5891,9125,21030,26247,19284,51713,11421,NA,5100,NA,NA,NA,3956,NA,24861,employment
1975,85846,5866,9284,20869,25536,19395,51532,11691,NA,5070,NA,NA,NA,4056,NA,24770,employment
1976,88752,5946,9652,21041,25396,19504,52034,12412,NA,5100,NA,NA,NA,4082,NA,24623,employment
1977,92017,6000,9825,21235,25428,19668,52720,12812,NA,5210,NA,NA,12466,4093,NA,24650,employment
1978,96048,6038,10124,21326,25647,19725,53371,13412,NA,5260,NA,NA,12274,4109,NA,24786,employment
1979,98824,6111,10561,21392,26074,19932,54040,13602,NA,5350,NA,NA,12106,4174,NA,25043,employment
1980,99303,6284,10872,21443,26486,20195,54598,13683,NA,5520,NA,NA,11778,4226,NA,24929,employment
1981,100397,6416,11192,21345,26453,20279,55057,14023,NA,5550,NA,NA,11475,4219,NA,24268,employment
1982,99526,6415,10847,22172,26149,20246,55618,14379,NA,5520,NA,NA,11370,4213,NA,23794,employment
1983,100834,6300,10936,22134,25765,20320,56545,14505,NA,5420,NA,NA,11312,4218,NA,23619,employment
1984,105005,6494,11211,21939,25826,20392,56866,14429,NA,5490,NA,NA,11013,4249,NA,24127,employment
1985,107150,6697,11557,21966,26018,20492,57255,14970,NA,5650,NA,NA,10902,4293,NA,24434,employment
1986,109597,6974,11895,22161,26383,20614,57736,15505,NA,5740,1619,NA,11111,4326,NA,24590,employment
1987,112440,7129,12221,22161,26584,20591,58315,16354,NA,5756,1625,NA,11646,4340,NA,25084,employment
1988,114968,7398,12591,22239,26799,20868,59303,16869,NA,5916,1573,NA,12098,4410,NA,25917,employment
1989,117342,7720,12876,22556,27201,20773,60493,17560,NA,6047,1524,NA,12539,4480,NA,26600,employment
1990,118793,7859,12964,22630,27952,21080,61706,18085,NA,6249,1535,NA,12857,4513,NA,26724,employment
1991,117718,7676,12754,22535,36871,21364,62920,18649,NA,6424,1509,NA,12963,4447,NA,26018,employment
1992,118492,7637,12643,22494,36390,21233,63632,19009,NA,6555,1514,NA,12729,4265,NA,25399,employment
1993,120259,7680,12705,22323,35989,21091,63826,19234,NA,6550,1545,NA,12208,4027,NA,25173,employment
1994,123060,7921,12975,22256,35756,20697,63860,19848,NA,6609,1612,NA,12129,3990,NA,25386,employment
1995,124900,8236,13210,22535,35780,20555,63897,20414,NA,6816,1687,NA,12424,4053,NA,25684,employment
1996,126708,8340,13337,22660,35637,20615,64197,20853,NA,6960,1741,NA,12777,4014,NA,25928,employment
1997,129558,8429,13639,22592,35508,20643,64897,21214,NA,7182,1751,NA,13253,3974,NA,26407,employment
1998,131463,8618,13974,22799,36059,20827,64454,19938,NA,7400,1739,NA,13806,4036,NA,26684,employment
1999,133488,8762,14326,23101,36042,21045,63924,20291,NA,7596,1766,NA,14584,4116,NA,27049,employment
2000,136891,8989,14677,23731,36236,21358,63790,21156,NA,7803,1800,NA,15387,4230,NA,27375,employment
2001,136933,9088,14860,24063,36350,21720,63460,21572,NA,8002,1846,NA,16023,4303,NA,27618,employment
2002,136485,9271,15210,24325,36018,21994,62650,22169,NA,8102,1906,NA,16514,4311,NA,27835,employment
2003,137736,9485,15576,24369,35615,22020,62511,22139,NA,8057,1956,NA,17179,4301,NA,28096,employment
2004,139252,9662,15835,24434,35604,22124,62641,22557,NA,8040,2024,NA,17854,4279,NA,28388,employment
2005,141730,9998,16032,24596,36123,22290,62908,22856,40303,8044,2085,NA,18823,4334,NA,28681,employment
2006,144427,10257,16317,24787,36949,22721,63279,23151,41492,8192,2135,NA,19609,4416,20120,28942,employment
2007,146047,10576,16704,25212,37763,22953,63659,23433,42124,8394,2174,NA,20208,4530,20415,29148,employment
2008,145362,10877,16985,25578,38345,23144,63490,23577,42600,8522,2188,13864,20113,4581,20820,29354,employment
2009,139877,10954,16732,25345,38279,22760,62561,23506,42803,8527,2164,13453,18735,4487,20827,28878,employment
2010,139064,11189,16969,25403,38549,22597,62421,23829,44653,8307,2180,13059,18309,4513,22112,28929,employment
2011,139869,11389,17238,25489,39549,22712,62332,24244,45678,8305,2215,13263,17972,4615,23552,29078,employment
2012,142469,11501,17445,25547,39873,22620,62152,24681,47138,8364,2216,13521,17155,4645,24208,29439,employment
1970,3463,434,604,NA,2218,3839,8490,4846,NA,NA,NA,NA,NA,315,NA,NA,employment in agriculture
1971,3394,426,607,3263,2093,3817,7840,4797,NA,NA,NA,NA,NA,301,NA,746,employment in agriculture
1972,3484,442,575,3086,1996,3546,7310,5238,NA,NA,NA,NA,NA,288,NA,701,employment in agriculture
1973,3470,424,573,2933,1908,3431,6810,5445,NA,306,NA,NA,NA,277,NA,713,employment in agriculture
1974,3515,410,579,2807,1809,3362,6540,5481,NA,305,NA,NA,NA,265,NA,667,employment in agriculture
1975,3408,407,564,2696,1716,3231,6380,5339,NA,301,NA,NA,NA,262,NA,665,employment in agriculture
1976,3331,392,542,2597,1586,3201,6210,5514,NA,293,NA,NA,NA,255,NA,661,employment in agriculture
1977,3283,400,528,2506,1501,3100,6110,5342,NA,293,NA,NA,2540,249,NA,661,employment in agriculture
1978,3387,384,524,2431,1463,3032,6100,5154,NA,297,NA,NA,2442,251,NA,665,employment in agriculture
1979,3347,399,538,2368,1378,2962,5860,4866,NA,289,NA,NA,2324,243,NA,648,employment in agriculture
1980,3364,410,534,2295,1373,2870,5510,4654,NA,285,NA,NA,2179,238,NA,621,employment in agriculture
1981,3368,419,538,2212,1335,2704,5330,4801,NA,288,NA,NA,2050,238,NA,628,employment in agriculture
1982,3401,415,530,2130,1289,2502,5250,4612,NA,290,NA,NA,2011,237,NA,616,employment in agriculture
1983,3383,418,549,2061,1247,2500,5060,4315,NA,285,NA,NA,2025,231,NA,611,employment in agriculture
1984,3321,405,541,1992,1209,2390,4860,3914,NA,286,NA,NA,1943,219,NA,601,employment in agriculture
1985,3179,411,543,1920,1163,2262,4820,3733,NA,290,NA,NA,1916,209,NA,539,employment in agriculture
1986,3163,426,559,1854,1141,2214,4700,3662,NA,288,169,NA,1736,205,NA,518,employment in agriculture
1987,3208,413,556,1781,1093,2139,4640,3580,NA,284,167,NA,1693,195,NA,553,employment in agriculture
1988,3169,432,551,1708,1050,2037,4480,3483,NA,284,163,NA,1672,194,NA,571,employment in agriculture
1989,3199,425,544,1637,1000,1927,4390,3438,NA,286,158,NA,1572,193,NA,561,employment in agriculture
1990,3223,437,541,1560,965,1879,4270,3237,NA,291,162,NA,1463,178,NA,538,employment in agriculture
1991,3269,419,551,1485,1514,1807,4030,2725,NA,294,162,NA,1324,168,NA,573,employment in agriculture
1992,3247,403,537,1418,1392,1734,3910,2667,NA,267,164,NA,1232,162,NA,535,employment in agriculture
1993,3115,408,544,1345,1269,1352,3650,2592,NA,262,164,NA,1176,159,NA,482,employment in agriculture
1994,3409,403,547,1279,1187,1281,3550,2491,NA,271,167,NA,1132,154,NA,511,employment in agriculture
1995,3440,407,531,1231,1127,1211,3510,2403,NA,264,163,NA,1093,143,NA,517,employment in agriculture
1996,3443,417,522,1193,1073,1157,3390,2323,NA,277,165,NA,1067,131,NA,497,employment in agriculture
1997,3399,429,517,1168,1035,1123,3320,2285,NA,275,145,NA,1068,122,NA,409,employment in agriculture
1998,3378,420,525,1150,1022,1082,3250,2397,NA,251,148,NA,1073,119,NA,368,employment in agriculture
1999,3281,431,505,1124,1026,1021,3160,2302,NA,246,163,NA,1037,128,NA,338,employment in agriculture
2000,2464,442,479,1097,959,1006,3070,2243,NA,251,153,NA,1017,122,NA,330,employment in agriculture
2001,2299,435,416,1076,951,1008,2970,2148,NA,242,163,NA,1035,111,NA,300,employment in agriculture
2002,2311,407,419,1055,911,981,2810,2069,NA,244,163,NA,988,106,NA,273,employment in agriculture
2003,2275,367,427,1034,900,960,2780,1950,NA,244,155,NA,982,107,NA,270,employment in agriculture
2004,2232,359,421,953,867,986,2710,1824,NA,250,149,NA,980,106,NA,267,employment in agriculture
2005,2197,356,437,903,863,944,2670,1813,5955,267,144,NA,983,99,NA,285,employment in agriculture
2006,2206,352,430,934,843,978,2580,1781,5796,267,148,NA,931,99,4658,283,employment in agriculture
